ABCDEF
(0, ('A', 'B', 'C', 'D', 'E', 'F'))
(120, ('B', 'A', 'C', 'D', 'E', 'F'))
(240, ('C', 'A', 'B', 'D', 'E', 'F'))
(360, ('D', 'A', 'B', 'C', 'E', 'F'))
(480, ('E', 'A', 'B', 'C', 'D', 'F'))
(600, ('F', 'A', 'B', 'C', 'D', 'E'))
(119, ('A', 'F', 'E', 'D', 'C', 'B'))
(239, ('B', 'F', 'E', 'D', 'C', 'A'))
(359, ('C', 'F', 'E', 'D', 'B', 'A'))
(479, ('D', 'F', 'E', 'C', 'B', 'A'))
(599, ('E', 'F', 'D', 'C', 'B', 'A'))
(719, ('F', 'E', 'D', 'C', 'B', 'A'))
(118, ('A', 'F', 'E', 'D', 'B', 'C'))
(238, ('B', 'F', 'E', 'D', 'A', 'C'))
(358, ('C', 'F', 'E', 'D', 'A', 'B'))
(478, ('D', 'F', 'E', 'C', 'A', 'B'))
(598, ('E', 'F', 'D', 'C', 'A', 'B'))
(718, ('F', 'E', 'D', 'C', 'A', 'B'))
(117, ('A', 'F', 'E', 'C', 'D', 'B'))
(237, ('B', 'F', 'E', 'C', 'D', 'A'))
(357, ('C', 'F', 'E', 'B', 'D', 'A'))
(477, ('D', 'F', 'E', 'B', 'C', 'A'))
(597, ('E', 'F', 'D', 'B', 'C', 'A'))
(717, ('F', 'E', 'D', 'B', 'C', 'A'))
(116, ('A', 'F', 'E', 'C', 'B', 'D'))
(236, ('B', 'F', 'E', 'C', 'A', 'D'))
(356, ('C', 'F', 'E', 'B', 'A', 'D'))
(476, ('D', 'F', 'E', 'B', 'A', 'C'))
(596, ('E', 'F', 'D', 'B', 'A', 'C'))
(716, ('F', 'E', 'D', 'B', 'A', 'C'))
(115, ('A', 'F', 'E', 'B', 'D', 'C'))
(235, ('B', 'F', 'E', 'A', 'D', 'C'))
(355, ('C', 'F', 'E', 'A', 'D', 'B'))
(475, ('D', 'F', 'E', 'A', 'C', 'B'))
(595, ('E', 'F', 'D', 'A', 'C', 'B'))
(715, ('F', 'E', 'D', 'A', 'C', 'B'))
(114, ('A', 'F', 'E', 'B', 'C', 'D'))
(234, ('B', 'F', 'E', 'A', 'C', 'D'))
(354, ('C', 'F', 'E', 'A', 'B', 'D'))
(474, ('D', 'F', 'E', 'A', 'B', 'C'))
(594, ('E', 'F', 'D', 'A', 'B', 'C'))
(714, ('F', 'E', 'D', 'A', 'B', 'C'))
(113, ('A', 'F', 'D', 'E', 'C', 'B'))
(233, ('B', 'F', 'D', 'E', 'C', 'A'))
(353, ('C', 'F', 'D', 'E', 'B', 'A'))
(473, ('D', 'F', 'C', 'E', 'B', 'A'))
(593, ('E', 'F', 'C', 'D', 'B', 'A'))
(713, ('F', 'E', 'C', 'D', 'B', 'A'))
(112, ('A', 'F', 'D', 'E', 'B', 'C'))
(232, ('B', 'F', 'D', 'E', 'A', 'C'))
(352, ('C', 'F', 'D', 'E', 'A', 'B'))
(472, ('D', 'F', 'C', 'E', 'A', 'B'))
(592, ('E', 'F', 'C', 'D', 'A', 'B'))
(712, ('F', 'E', 'C', 'D', 'A', 'B'))
(111, ('A', 'F', 'D', 'C', 'E', 'B'))
(231, ('B', 'F', 'D', 'C', 'E', 'A'))
(351, ('C', 'F', 'D', 'B', 'E', 'A'))
(471, ('D', 'F', 'C', 'B', 'E', 'A'))
(591, ('E', 'F', 'C', 'B', 'D', 'A'))
(711, ('F', 'E', 'C', 'B', 'D', 'A'))
(110, ('A', 'F', 'D', 'C', 'B', 'E'))
(230, ('B', 'F', 'D', 'C', 'A', 'E'))
(350, ('C', 'F', 'D', 'B', 'A', 'E'))
(470, ('D', 'F', 'C', 'B', 'A', 'E'))
(590, ('E', 'F', 'C', 'B', 'A', 'D'))
(710, ('F', 'E', 'C', 'B', 'A', 'D'))
(109, ('A', 'F', 'D', 'B', 'E', 'C'))
(229, ('B', 'F', 'D', 'A', 'E', 'C'))
(349, ('C', 'F', 'D', 'A', 'E', 'B'))
(469, ('D', 'F', 'C', 'A', 'E', 'B'))
(589, ('E', 'F', 'C', 'A', 'D', 'B'))
(709, ('F', 'E', 'C', 'A', 'D', 'B'))
(108, ('A', 'F', 'D', 'B', 'C', 'E'))
(228, ('B', 'F', 'D', 'A', 'C', 'E'))
(348, ('C', 'F', 'D', 'A', 'B', 'E'))
(468, ('D', 'F', 'C', 'A', 'B', 'E'))
(588, ('E', 'F', 'C', 'A', 'B', 'D'))
(708, ('F', 'E', 'C', 'A', 'B', 'D'))
(107, ('A', 'F', 'C', 'E', 'D', 'B'))
(227, ('B', 'F', 'C', 'E', 'D', 'A'))
(347, ('C', 'F', 'B', 'E', 'D', 'A'))
(467, ('D', 'F', 'B', 'E', 'C', 'A'))
(587, ('E', 'F', 'B', 'D', 'C', 'A'))
(707, ('F', 'E', 'B', 'D', 'C', 'A'))
(106, ('A', 'F', 'C', 'E', 'B', 'D'))
(226, ('B', 'F', 'C', 'E', 'A', 'D'))
(346, ('C', 'F', 'B', 'E', 'A', 'D'))
(466, ('D', 'F', 'B', 'E', 'A', 'C'))
(586, ('E', 'F', 'B', 'D', 'A', 'C'))
(706, ('F', 'E', 'B', 'D', 'A', 'C'))
(105, ('A', 'F', 'C', 'D', 'E', 'B'))
(225, ('B', 'F', 'C', 'D', 'E', 'A'))
(345, ('C', 'F', 'B', 'D', 'E', 'A'))
(465, ('D', 'F', 'B', 'C', 'E', 'A'))
(585, ('E', 'F', 'B', 'C', 'D', 'A'))
(705, ('F', 'E', 'B', 'C', 'D', 'A'))
(104, ('A', 'F', 'C', 'D', 'B', 'E'))
(224, ('B', 'F', 'C', 'D', 'A', 'E'))
(344, ('C', 'F', 'B', 'D', 'A', 'E'))
(464, ('D', 'F', 'B', 'C', 'A', 'E'))
(584, ('E', 'F', 'B', 'C', 'A', 'D'))
(704, ('F', 'E', 'B', 'C', 'A', 'D'))
(103, ('A', 'F', 'C', 'B', 'E', 'D'))
(223, ('B', 'F', 'C', 'A', 'E', 'D'))
(343, ('C', 'F', 'B', 'A', 'E', 'D'))
(463, ('D', 'F', 'B', 'A', 'E', 'C'))
(583, ('E', 'F', 'B', 'A', 'D', 'C'))
(703, ('F', 'E', 'B', 'A', 'D', 'C'))
(102, ('A', 'F', 'C', 'B', 'D', 'E'))
(222, ('B', 'F', 'C', 'A', 'D', 'E'))
(342, ('C', 'F', 'B', 'A', 'D', 'E'))
(462, ('D', 'F', 'B', 'A', 'C', 'E'))
(582, ('E', 'F', 'B', 'A', 'C', 'D'))
(702, ('F', 'E', 'B', 'A', 'C', 'D'))
(101, ('A', 'F', 'B', 'E', 'D', 'C'))
(221, ('B', 'F', 'A', 'E', 'D', 'C'))
(341, ('C', 'F', 'A', 'E', 'D', 'B'))
(461, ('D', 'F', 'A', 'E', 'C', 'B'))
(581, ('E', 'F', 'A', 'D', 'C', 'B'))
(701, ('F', 'E', 'A', 'D', 'C', 'B'))
(100, ('A', 'F', 'B', 'E', 'C', 'D'))
(220, ('B', 'F', 'A', 'E', 'C', 'D'))
(340, ('C', 'F', 'A', 'E', 'B', 'D'))
(460, ('D', 'F', 'A', 'E', 'B', 'C'))
(580, ('E', 'F', 'A', 'D', 'B', 'C'))
(700, ('F', 'E', 'A', 'D', 'B', 'C'))
(99, ('A', 'F', 'B', 'D', 'E', 'C'))
(219, ('B', 'F', 'A', 'D', 'E', 'C'))
(339, ('C', 'F', 'A', 'D', 'E', 'B'))
(459, ('D', 'F', 'A', 'C', 'E', 'B'))
(579, ('E', 'F', 'A', 'C', 'D', 'B'))
(699, ('F', 'E', 'A', 'C', 'D', 'B'))
(98, ('A', 'F', 'B', 'D', 'C', 'E'))
(218, ('B', 'F', 'A', 'D', 'C', 'E'))
(338, ('C', 'F', 'A', 'D', 'B', 'E'))
(458, ('D', 'F', 'A', 'C', 'B', 'E'))
(578, ('E', 'F', 'A', 'C', 'B', 'D'))
(698, ('F', 'E', 'A', 'C', 'B', 'D'))
(97, ('A', 'F', 'B', 'C', 'E', 'D'))
(217, ('B', 'F', 'A', 'C', 'E', 'D'))
(337, ('C', 'F', 'A', 'B', 'E', 'D'))
(457, ('D', 'F', 'A', 'B', 'E', 'C'))
(577, ('E', 'F', 'A', 'B', 'D', 'C'))
(697, ('F', 'E', 'A', 'B', 'D', 'C'))
(96, ('A', 'F', 'B', 'C', 'D', 'E'))
(216, ('B', 'F', 'A', 'C', 'D', 'E'))
(336, ('C', 'F', 'A', 'B', 'D', 'E'))
(456, ('D', 'F', 'A', 'B', 'C', 'E'))
(576, ('E', 'F', 'A', 'B', 'C', 'D'))
(696, ('F', 'E', 'A', 'B', 'C', 'D'))
(95, ('A', 'E', 'F', 'D', 'C', 'B'))
(215, ('B', 'E', 'F', 'D', 'C', 'A'))
(335, ('C', 'E', 'F', 'D', 'B', 'A'))
(455, ('D', 'E', 'F', 'C', 'B', 'A'))
(575, ('E', 'D', 'F', 'C', 'B', 'A'))
(695, ('F', 'D', 'E', 'C', 'B', 'A'))
(94, ('A', 'E', 'F', 'D', 'B', 'C'))
(214, ('B', 'E', 'F', 'D', 'A', 'C'))
(334, ('C', 'E', 'F', 'D', 'A', 'B'))
(454, ('D', 'E', 'F', 'C', 'A', 'B'))
(574, ('E', 'D', 'F', 'C', 'A', 'B'))
(694, ('F', 'D', 'E', 'C', 'A', 'B'))
(93, ('A', 'E', 'F', 'C', 'D', 'B'))
(213, ('B', 'E', 'F', 'C', 'D', 'A'))
(333, ('C', 'E', 'F', 'B', 'D', 'A'))
(453, ('D', 'E', 'F', 'B', 'C', 'A'))
(573, ('E', 'D', 'F', 'B', 'C', 'A'))
(693, ('F', 'D', 'E', 'B', 'C', 'A'))
(92, ('A', 'E', 'F', 'C', 'B', 'D'))
(212, ('B', 'E', 'F', 'C', 'A', 'D'))
(332, ('C', 'E', 'F', 'B', 'A', 'D'))
(452, ('D', 'E', 'F', 'B', 'A', 'C'))
(572, ('E', 'D', 'F', 'B', 'A', 'C'))
(692, ('F', 'D', 'E', 'B', 'A', 'C'))
(91, ('A', 'E', 'F', 'B', 'D', 'C'))
(211, ('B', 'E', 'F', 'A', 'D', 'C'))
(331, ('C', 'E', 'F', 'A', 'D', 'B'))
(451, ('D', 'E', 'F', 'A', 'C', 'B'))
(571, ('E', 'D', 'F', 'A', 'C', 'B'))
(691, ('F', 'D', 'E', 'A', 'C', 'B'))
(90, ('A', 'E', 'F', 'B', 'C', 'D'))
(210, ('B', 'E', 'F', 'A', 'C', 'D'))
(330, ('C', 'E', 'F', 'A', 'B', 'D'))
(450, ('D', 'E', 'F', 'A', 'B', 'C'))
(570, ('E', 'D', 'F', 'A', 'B', 'C'))
